iter,err_k,err_x
458,2.86429549e-04,7.98517977e-17
459,2.85802428e-04,8.26715317e-17
460,2.85178054e-04,8.16134464e-17
461,2.84556410e-04,7.96536540e-17
462,2.83937477e-04,8.17102022e-17
463,2.83321238e-04,7.69801162e-17
464,2.82707675e-04,8.16618386e-17
465,2.82096771e-04,8.68659586e-17
466,2.81488509e-04,7.49519146e-17
467,2.80882871e-04,8.86664807e-17
468,2.80279841e-04,7.78984006e-17
469,2.79679402e-04,8.22403241e-17
470,2.79081536e-04,8.27670506e-17
471,2.78486229e-04,8.01973713e-17
472,2.77893462e-04,8.17585371e-17
473,2.77303220e-04,8.34799583e-17
474,2.76715487e-04,8.36218104e-17
475,2.76130247e-04,8.43743278e-17
476,2.75547484e-04,8.32430008e-17
477,2.74967182e-04,7.99012569e-17
478,2.74389326e-04,7.83535071e-17
479,2.73813901e-04,8.42806306e-17
480,2.73240890e-04,8.15650255e-17
481,2.72670279e-04,8.06395041e-17
482,2.72102053e-04,8.00987881e-17
483,2.71536197e-04,8.12738942e-17
484,2.70972696e-04,7.95047221e-17
485,2.70411535e-04,8.15165758e-17
486,2.69852700e-04,7.91061997e-17
487,2.69296176e-04,8.02958334e-17
488,2.68741950e-04,8.30529480e-17
489,2.68190006e-04,8.32430008e-17
490,2.67640331e-04,8.99053938e-17
491,2.67092911e-04,7.93555108e-17
492,2.66547732e-04,8.30053668e-17
493,2.66004780e-04,8.10304858e-17
494,2.65464042e-04,8.36218104e-17
495,2.64925503e-04,8.28624593e-17
496,2.64389152e-04,8.10304858e-17
497,2.63854974e-04,7.88059854e-17
498,2.63322956e-04,8.59515546e-17
499,2.62793085e-04,8.05414621e-17
500,2.62265348e-04,7.99506854e-17
